scouter,pathDrawer,eventCode,matchLevel,matchNumber,robot,teamNumber,Auto Location,Auto Action,Auto Amp Makes,Auto Amp Misses,Auto Speaker Scores,Auto Speaker Misses,Speaker Score,Speaker Misses,Scoring Location,Bumper Only Scoring,Amp Scores,Amp Misses,Notes Shuttled,Defense Played,Defense Location,Penalties,Stage Travel,Paths,Parked,Onstage,Chain Position,Trap,Damaged,Died or Immobilized,Note Stuck,comments,Drivetype
CDE,0.0,2024week0,sf,6.0,b1,234.0,ifsas,punz,0.0,,0.0,1.0,0.0,1.0,n,0.0,0.0,0.0,0.0,1.0,ao,0.0,n,,1.0,a,side,0.0,,0.0,0.0,Very slow,swv
A.F.O,0.0,2024week0,sf,4.0,r1,234.0,bas,no,0.0,,1.0,0.0,0.0,1.0,n,0.0,0.0,1.0,1.0,1.0,nos,0.0,bl,,1.0,x,side,0.0,,0.0,1.0,Only drives through the source side ,swv
PJH,0.0,2024week,sf,6.0,b1,234.0,bas,sz,0.0,,0.0,1.0,0.0,1.0,ne,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,0.0,,swv
PJH,0.0,2024week,qm,59.0,r2,234.0,insm,sz,0.0,,1.0,0.0,4.0,0.0,ne,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,o,mid,0.0,,0.0,0.0,,swv
LF,0.0,Smokey Mountains Regional,qm,8.0,b1,3467.0,ifsas,no,0.0,,0.0,0.0,3.0,2.0,n,0.0,2.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,0.0,,swv
EB,0.0,2024week0,qm,6.0,r1,234.0,insas,no,0.0,,0.0,0.0,1.0,1.0,ne,1.0,1.0,0.0,1.0,0.0,n,0.0,n,,1.0,x,side,0.0,,0.0,0.0,,oth
A.F.O,0.0,2024week0,qm,53.0,r3,234.0,bsss,no,0.0,,0.0,1.0,5.0,1.0,ne,0.0,0.0,1.0,0.0,0.0,n,0.0,n,,1.0,o,mid,0.0,,0.0,0.0,Can't score in the amp,swv
CDE,0.0,2024week0,qm,22.0,r3,234.0,bas,punz,0.0,,1.0,1.0,3.0,1.0,b,0.0,1.0,0.0,0.0,1.0,oth,0.0,n,,1.0,o,mid,0.0,,0.0,0.0,,swv
M.B,0.0,Smoky Mountains Regional ,sf,4.0,b2,234.0,bas,o,0.0,,2.0,0.0,2.0,1.0,f,0.0,0.0,1.0,0.0,1.0,ao,0.0,bh,,1.0,a,side,0.0,,0.0,1.0,,oth
DKE,0.0,Smokeymountains,qm,17.0,b1,234.0,insm,punz,0.0,,1.0,0.0,9.0,1.0,ne,0.0,0.0,2.0,0.0,0.0,n,0.0,n,,0.0,o,mid,0.0,,0.0,0.0,Dropped notes,swv
JAM,0.0,2024week3,qm,9.0,b3,4923.0,bas,punz,0.0,,1.0,0.0,2.0,1.0,b,0.0,2.0,0.0,0.0,1.0,ao,0.0,n,,0.0,x,side,0.0,,0.0,0.0,,oth
Olm,0.0,2024week1,qm,9.0,b3,4926.0,bas,punz,1.0,,1.0,0.0,2.0,1.0,b,0.0,2.0,0.0,0.0,1.0,ao,0.0,n,,0.0,x,mid,0.0,,0.0,0.0,,oth
JLD ,0.0,2024week0,qm,25.0,b1,234.0,insas,no,0.0,,0.0,1.0,5.0,0.0,n,0.0,2.0,0.0,0.0,0.0,ao,0.0,bh,,1.0,x,side,0.0,,0.0,0.0,,swv
AC,0.0,SmokyMountainRegional,sf,35.0,b1,234.0,insm,punz,0.0,,1.0,1.0,8.0,1.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,o,mid,0.0,,0.0,0.0,Very good,swv
Cmh,0.0,2024week0,qm,46.0,b2,234.0,insas,puncl,0.0,,2.0,1.0,3.0,1.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,bh,,1.0,a,side,0.0,,0.0,0.0,,swv
CSC ,0.0,2024week0,qm,44.0,b1,234.0,bas,no,0.0,,0.0,1.0,1.0,0.0,n,0.0,0.0,2.0,0.0,1.0,ao,0.0,n,,0.0,o,mid,0.0,,0.0,1.0,,swv
EB,0.0,2024week0,sf,9.0,r1,8430.0,bsss,sz,0.0,,0.0,0.0,0.0,0.0,n,0.0,0.0,0.0,0.0,1.0,sbs,0.0,n,,0.0,x,side,0.0,,0.0,0.0,,swv
JAM,0.0,2024week2,qm,62.0,b2,4926.0,insm,punz,0.0,,1.0,0.0,3.0,1.0,b,0.0,1.0,0.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,1.0,0.0,,oth
Olm,0.0,2024week1,qm,62.0,b2,4926.0,insm,punz,0.0,,1.0,0.0,3.0,1.0,b,0.0,1.0,0.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,1.0,0.0,,oth
Sew,0.0,2024week1,qm,62.0,b2,4926.0,insm,punz,0.0,,1.0,0.0,3.0,1.0,ne,0.0,1.0,0.0,0.0,0.0,n,0.0,bh,,1.0,x,side,0.0,,1.0,0.0,,oth
LF,0.0,FIN District Columbus Event 2024,qm,42.0,b2,3559.0,bsss,no,0.0,,0.0,0.0,0.0,1.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,o,mid,0.0,,0.0,0.0,Slow robots,swv
LF,0.0,FIN District Columbus Event 2024,qm,51.0,r3,3559.0,ifsas,no,0.0,,0.0,0.0,2.0,0.0,n,1.0,0.0,0.0,0.0,0.0,n,0.0,rd,,0.0,o,mid,0.0,,0.0,0.0,Slow turning,oth
CDE,0.0,2024week0,qm,67.0,r3,8564.0,insm,sz,0.0,,0.0,0.0,0.0,0.0,n,0.0,0.0,0.0,0.0,1.0,ao,1.0,rd,,1.0,o,mid,0.0,,0.0,0.0,,oth
EB,0.0,2024week0,sf,7.0,r1,8430.0,bsss,sz,0.0,,0.0,0.0,0.0,0.0,n,0.0,0.0,0.0,0.0,1.0,sbs,0.0,n,,0.0,x,side,0.0,,0.0,0.0,Not immobilized but barely moving ,oth
PJH,0.0,2024week,sf,13.0,r2,5484.0,insm,punz,0.0,,2.0,0.0,8.0,1.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,rd,,1.0,x,side,0.0,,0.0,0.0,,swv
JLD ,0.0,2024week0,qm,9.0,r2,45.0,insas,sz,0.0,,1.0,0.0,9.0,0.0,n,0.0,0.0,0.0,0.0,0.0,sbs,0.0,bh,,0.0,o,mid,0.0,,0.0,0.0,,swv
M.B,0.0,Columbus ,qm,12.0,r1,5188.0,bas,afsna,1.0,,3.0,0.0,2.0,1.0,n,1.0,2.0,0.0,0.0,1.0,nos,0.0,bh,,0.0,a,mid,0.0,,0.0,1.0,Stuck in place lots of times ,swv
AC,0.0,Columbus,qm,64.0,r3,9491.0,bsss,no,0.0,,0.0,0.0,0.0,2.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,0.0,Strangely spins 360 before shooting,swv
DKE,0.0,Columbusweek3,qm,68.0,b2,8116.0,bsss,no,0.0,,0.0,0.0,1.0,2.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,bl,,0.0,x,side,0.0,,1.0,0.0,Could barely move,swv
DKE,0.0,Columbusweek3,qm,61.0,r2,8116.0,bsss,no,0.0,,0.0,0.0,3.0,4.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,0.0,0.0,,swv
DKE,0.0,Columbusweek3,qm,56.0,b3,8116.0,bsss,no,0.0,,0.0,0.0,0.0,3.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,0.0,0.0,,swv
SGG,0.0,Columbus ,qm,12.0,r1,5188.0,bas,sz,0.0,,0.0,0.0,1.0,0.0,ne,0.0,1.0,0.0,0.0,0.0,n,0.0,bh,,1.0,x,side,0.0,,1.0,0.0,They did not contribute much to scoring.,swv
JAM,0.0,2024week2,qm,54.0,b1,49264.0,bas,sz,0.0,,0.0,0.0,1.0,0.0,n,0.0,0.0,0.0,0.0,1.0,ao,0.0,n,,1.0,a,side,0.0,,1.0,1.0,,oth
